time,price,market,slug,end_date,resolution,resolution_date
2024-12-07 00:00:03,0.029,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-08 00:00:03,0.046,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-09 00:00:02,0.0695,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-10 00:00:03,0.0845,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-11 00:00:03,0.0585,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-12 00:00:03,0.0535,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-13 00:00:03,0.055,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-14 00:00:03,0.039,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-15 00:00:03,0.038,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-16 00:00:03,0.0465,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-17 00:00:04,0.046,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-18 00:00:03,0.0305,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-19 00:00:03,0.0365,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-20 00:00:04,0.028,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-21 00:00:03,0.017,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-22 00:00:04,0.0175,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-23 00:00:04,0.0195,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-24 00:00:03,0.0175,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-25 00:00:03,0.0155,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-26 00:00:04,0.0105,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-27 00:00:03,0.007,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-28 00:00:03,0.009,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-29 00:00:03,0.0135,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-30 00:00:03,0.029,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-30 00:00:03,0.635,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2024-12-31 00:00:04,0.0045,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2024-12-31 00:00:04,0.695,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-01 00:00:04,0.705,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-01 00:00:04,0.001,Russia x Ukraine Ceasefire in 2024?,russia-x-ukraine-ceasefire-in-2024,2024-12-31,0,2025-01-01
2025-01-02 00:00:03,0.695,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-03 00:00:04,0.64,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-04 00:00:03,0.62,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-05 00:00:03,0.595,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-06 00:00:03,0.595,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-07 00:00:04,0.6,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-08 00:00:03,0.595,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-09 00:00:03,0.595,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-10 00:00:04,0.59,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-11 00:00:04,0.595,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-12 00:00:04,0.555,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-13 00:00:04,0.565,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-14 00:00:03,0.575,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-15 00:00:03,0.605,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-16 00:00:04,0.605,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-17 00:00:04,0.61,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-18 00:00:04,0.605,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-19 00:00:04,0.615,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-20 00:00:04,0.62,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-21 00:00:03,0.65,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-22 00:00:03,0.64,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-23 00:00:04,0.655,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-24 00:00:03,0.65,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-25 00:00:05,0.655,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-26 00:00:04,0.635,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-27 00:00:04,0.64,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-28 00:00:04,0.645,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-29 00:00:04,0.625,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-30 00:00:05,0.625,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-01-31 00:00:04,0.635,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-02-01 00:00:05,0.635,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-02-02 00:00:04,0.635,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-02-03 00:00:05,0.635,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-02-04 00:00:04,0.625,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-02-05 00:00:04,0.615,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
2025-02-06 00:00:05,0.625,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,2025-12-31,0,2026-01-01
